model_id,component_scope,slice_index_a,slice_index_b,pair_index,component_index,red_px,blue_px,purple_px,combined_px,red_area,blue_area,purple_area,combined_area,rp_contact_length,bp_contact_length,combined_perimeter_length,mass_weight_area,physical_weight_volume,mass_orientation,thickness_sqrt_red_purple,thickness_area_red_purple,thickness_equiv_diameter_red_purple,pa_current_red_purple,pa_pixel_unit_red_purple,leff_contact_sum,leff_change_area_over_contact,leff_combined_area_over_perimeter,angle_current_2h_contact_sum,angle_h_contact_sum,angle_h_change_area_over_contact,angle_h_combined_area_over_perimeter,curvature_current_contact_sum_over_2h,curvature_area_over_h_contact_sum,curvature_area_over_h_change_contact,curvature_area_over_h_perimeter_leff,connectivity,min_component_pixels
F1,overlay_union,1,2,1,12,0,2395,0,2395,0.0,3.8320000000000003,0.0,3.8320000000000003,0.0,0.0,10.193137083053589,1.9160000000000001,0.09580000000000001,0.0,0.0,0.0,,,,,,0.37593921957263,,,,7.575890105747859,,,,203.86274166107177,8,2
F1,overlay_union,1,2,1,13,0,261,4392,4653,0.0,0.4176,7.027200000000001,7.444800000000001,0.0,10.28,11.52,7.236000000000001,0.36180000000000007,0.9711442786069652,2.6508866441249426,7.027200000000001,2.991205263562321,1.6018568621252838,0.06407427448501135,0.04062256809338522,0.04062256809338522,0.6462500000000001,67.89174766049632,50.90781976663282,50.90781976663282,4.424128713560591,0.4062256809338522,205.59999999999994,205.59999999999994,12.923791102514505,8,2
F1,overlay_union,1,2,1,14,0,3038,1400,4438,0.0,4.8608,2.24,7.1008000000000004,0.0,7.04,11.256568541526795,4.670400000000001,0.23352000000000006,0.4796163069544364,1.4966629547095767,2.24,1.688803298257901,3.142857142857143,0.12571428571428572,0.6904545454545454,0.6904545454545454,0.6308139086795697,8.240966619166525,4.141904718910595,4.141904718910595,4.531942044807696,6.904545454545454,140.8,140.8,154.11201094708608,8,2
F1,overlay_union,1,2,1,15,0,2376,0,2376,0.0,3.8016,0.0,3.8016,0.0,0.0,10.193137083053589,1.9008,0.09504000000000001,0.0,0.0,0.0,,,,,,0.3729568207534734,,,,7.635759731303024,,,,203.86274166107177,8,2
F1,overlay_union,2,3,2,1,0,291,4653,4944,0.0,0.4656,7.444800000000001,7.9104,0.0,11.44,11.816568541526795,7.677600000000001,0.38388000000000005,0.9696780243826195,2.7285160802164974,7.444800000000001,3.0788007020014043,1.5473887814313345,0.061895551257253385,0.0406993006993007,0.0406993006993007,0.6694329214272821,67.85402057873509,50.85489266633465,50.85489266633465,4.271495269681784,0.406993006993007,228.79999999999995,228.79999999999995,13.910280928739068,8,2
F1,overlay_union,2,3,2,2,0,258,4438,4696,0.0,0.4128,7.1008000000000004,7.5136,0.0,10.120000000000001,11.576568541526795,7.307200000000001,0.3653600000000001,0.9717538865776221,2.664732631991435,7.1008000000000004,3.0068287878187285,1.5852535688270046,0.06341014275308018,0.04079051383399209,0.04079051383399209,0.6490351586523805,67.80920015485563,50.792080852411324,50.792080852411324,4.405218652968438,0.40790513833992087,202.4,202.4,12.720420288389747,8,2
F1,overlay_union,2,3,2,3,0,2128,2376,4504,0.0,3.4048000000000003,3.8016,7.2064,0.0,7.68,11.336568541526795,5.5040000000000004,0.27520000000000006,0.6906976744186046,1.9497692171126304,3.8016,2.20007896523402,2.6812755374193995,0.10725102149677598,0.4433333333333334,0.4433333333333334,0.635677363357559,12.711132565529487,6.434739151036719,6.434739151036719,4.497411753310601,4.433333333333334,153.59999999999997,153.59999999999997,107.12352511709156,8,2
F1,overlay_union,2,3,2,4,0,3594,0,3594,0.0,5.7504,0.0,5.7504,0.0,0.0,10.32,2.8752,0.14376,0.0,0.0,0.0,,,,,,0.5572093023255814,,,,5.127582783801733,,,,206.4,8,2
F1,overlay_union,2,3,2,5,0,296,4679,4975,0.0,0.4736,7.486400000000001,7.96,0.0,11.52,11.84,7.7232,0.38616000000000006,0.9693391340377047,2.7361286519460304,7.486400000000001,3.0873905693490293,1.5387903398162,0.061551613592648005,0.04111111111111111,0.04111111111111111,0.6722972972972973,67.65189165209058,50.5721978039638,50.5721978039638,4.253363155876078,0.4111111111111111,230.4,230.4,14.08900502512563,8,2
F1,overlay_union,2,3,2,6,0,288,4416,4704,0.0,0.46080000000000004,7.065600000000001,7.526400000000001,0.0,11.200000000000001,11.52,7.296000000000001,0.36480000000000007,0.9684210526315788,2.658119636133784,7.065600000000001,2.999366821060866,1.585144927536232,0.06340579710144928,0.04114285714285714,0.04114285714285714,0.6533333333333334,67.63633398452653,50.55049978958295,50.55049978958295,4.376350389484144,0.41142857142857137,224.0,224.0,14.106122448979592,8,2
F1,overlay_union,2,3,2,7,0,2087,2395,4482,0.0,3.3392,3.8320000000000003,7.171200000000001,0.0,6.92,11.336568541526795,5.5016,0.27508,0.6965246473753091,1.957549488518745,3.8320000000000003,2.208858061403028,2.6600044579993707,0.10640017831997484,0.48254335260115605,0.48254335260115605,0.6325723673553684,11.707978184576326,5.915741652164657,5.915741652164657,4.519396171265288,4.82543352601156,138.4,138.4,105.57527240591888,8,2
