bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v2.7-TECHNICAL,B2,B,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,B3,B,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,B4,B,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,B5,B,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,C1,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C10,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C11,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,C12,C,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v2.7-TECHNICAL,C13,C,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v2.7-TECHNICAL,C14,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C2,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C3,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C4,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,C5,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,C6,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,C7,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,C8,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,C9,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,F1,F,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,F2,F,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L1,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L10,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L11,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L12,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L13,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L14,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L15,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L16,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L17,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L18,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L19,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L2,L,LIT-X001::solid_chord_x_q10_mm,1.5625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L20,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L3,L,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v2.7-TECHNICAL,L4,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L5,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L6,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,L7,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,L8,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,L9,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,T1,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v2.7-TECHNICAL,T10,T,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v2.7-TECHNICAL,T11,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v2.7-TECHNICAL,T12,T,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v2.7-TECHNICAL,T13,T,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
