model_id,slice_index,source_sha256,replay_hash,expected_hash,exact,evidence
T1,700,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,11dac53b2dd57fb90803cad798f15adce5c2930829799275b2da2a674ddf916f,11dac53b2dd57fb90803cad798f15adce5c2930829799275b2da2a674ddf916f,True,IMSTL-006 trace packedbits
T1,799,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,4fefcdd5b7c0958aa6edc59ba5743632e740a11fa98fdc1f6145e073c5b539a4,4fefcdd5b7c0958aa6edc59ba5743632e740a11fa98fdc1f6145e073c5b539a4,True,IMSTL-006 trace packedbits
T1,800,cc158c6485dcdabace8d5fde7d1c2f00e59e29cca05c8a6a73b8f72b21c07575,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-006 trace packedbits
T8,0,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-006 trace packedbits
T8,1,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,5b01176005b8f21ef790082c3d1927ee7c957c7dfcfe06280e717c74c1120fa4,5b01176005b8f21ef790082c3d1927ee7c957c7dfcfe06280e717c74c1120fa4,True,IMSTL-006 trace packedbits
T8,100,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,e3befd5cbba3da648c4f5c7e734adb1bc6c72e93cc1504e3c3a9e19f07a7da90,e3befd5cbba3da648c4f5c7e734adb1bc6c72e93cc1504e3c3a9e19f07a7da90,True,IMSTL-006 trace packedbits
T8,200,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,819a8c779ce72ec8e852c3c6f05d6db535ed26e54f2cd67d9f5aec4529136f70,819a8c779ce72ec8e852c3c6f05d6db535ed26e54f2cd67d9f5aec4529136f70,True,IMSTL-006 trace packedbits
T8,400,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,b036d6fee95a00cb873e43b223a1855b7da460e976f870905d8436e61d44081d,b036d6fee95a00cb873e43b223a1855b7da460e976f870905d8436e61d44081d,True,IMSTL-006 trace packedbits
T8,600,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,a517d4b77a3e143a40f7736e2a91046522e9dbd7ae7f0e44128163f48da8502b,a517d4b77a3e143a40f7736e2a91046522e9dbd7ae7f0e44128163f48da8502b,True,IMSTL-006 trace packedbits
T8,700,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,5edb7d009e7b28e35db3a011af5b3a9017ce95b213942610980ef5d0c6e2ccd1,5edb7d009e7b28e35db3a011af5b3a9017ce95b213942610980ef5d0c6e2ccd1,True,IMSTL-006 trace packedbits
T8,799,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,0f5e2b12dcf731cffbad46cff4d04958e35d755e6d5dca52a10eb56a15d68250,0f5e2b12dcf731cffbad46cff4d04958e35d755e6d5dca52a10eb56a15d68250,True,IMSTL-006 trace packedbits
T8,800,24d0c1b1f1e190fcea3da70ec421968fc7cf58d8dccf367c34e8263db5677933,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-006 trace packedbits
T9,0,76bc0f0bd05dbe549c0fcfd5321a46b9d99ce71631faa4346a0ad2db27c9b429,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,True,IMSTL-006 trace packedbits
