analysis_bbox_extent_mm,analysis_uniform_scale,family,interior_gate_slice,model_id,normalization_mode,normalization_status,occupancy_gate_pass,p1000_area_fraction,p1000_mask_sha256,p1000_max_abs_winding,p1000_solid_pixels,p500_area_fraction,p500_mask_sha256,p500_max_abs_winding,p500_solid_pixels,p500_upsampled_vs_p1000_area_difference,p500_upsampled_vs_p1000_iou,resolution_gate_pass,run_id,segment_count,slice_gate_pass,slice_index,source_bbox_center_mm,source_bbox_extent_mm,source_geometry_sha256,source_triangle_count,z_active_triangle_count,z_mm
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.2791,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,1,279100,0.2732,e38fbcaa3d4b2073487f6fa5d3a76521f1858f5cbd8a640171d12fb47bc55085,1,68300,0.021139376567538518,0.9578163771712159,True,IMSTL-006-20260728-002,3740,True,100,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,3740,5.0
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.2794,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,1,279400,0.2808,c520bf18effb8284e2873ec31759aa2b337f9a2fb86787387b0357a09ad4aab8,1,70200,0.004985754985754986,0.9628591450595655,True,IMSTL-006-20260728-002,4800,True,200,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,4800,10.0
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.584,1686ab1df495f0800082b3bf88b38a5ae220bfe658e434dd661e3be5912dde38,1,584000,0.5776,c1aa96332fd4efc5f31ce1b3a54e067ba718ac19fa2d8b6419412e5b2867ac2f,1,144400,0.010958904109589041,0.989041095890411,True,IMSTL-006-20260728-002,520,True,400,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,1020,20.0
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.2794,4eaaf27357b7261921a5fc972f1ffd1a890a34675d51920c823321208f50d62f,1,279400,0.2808,c520bf18effb8284e2873ec31759aa2b337f9a2fb86787387b0357a09ad4aab8,1,70200,0.004985754985754986,0.9628591450595655,True,IMSTL-006-20260728-002,4800,True,600,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,4800,30.0
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.2791,e46e81a4ecbd7eaab8c0156166377178c7ad791e4d0c08c3c217a4085fe6821d,1,279100,0.2732,e38fbcaa3d4b2073487f6fa5d3a76521f1858f5cbd8a640171d12fb47bc55085,1,68300,0.021139376567538518,0.9578163771712159,True,IMSTL-006-20260728-002,3740,True,700,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,3740,35.0
"[40.0, 40.0, 40.0]",1.0,L,True,L1,uniform_bbox_to_expected,already_expected_size,True,0.0907,62f33ccb65e6d2d09f81906b181cf15fa64ac30a3c8fb1684dcc9008cfc2d5b7,1,90700,0.0904,ad30fbc8b91482f64b31bca0449f1351854bfa7d325dcefa81f86ff396d5890a,1,22600,0.0033076074972436605,0.9749182115594329,True,IMSTL-006-20260728-002,1900,True,799,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,1900,39.95
"[40.0, 40.0, 40.0]",1.0,L,False,L1,uniform_bbox_to_expected,already_expected_size,True,0.0851,5b11c453cff2ca77069d23aa67837b6d907494272501303b5a758ce6fccecf3f,1,85100,0.0856,4c3235917be0fc66a5df648c5c2d6f35568d628e9f2eb26d842d14a8e77a1c68,1,21400,0.005841121495327103,0.9688581314878892,True,IMSTL-006-20260728-002,800,True,800,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",7189d16e6f812608f31cb7bf54f604caaf438272cbb31a45c153b8a2e8b0730a,76500,1900,39.99999999999999
"[40.0, 40.0, 40.0]",1.0,F,False,F1,uniform_bbox_to_expected,already_expected_size,True,0.0,923b0ffd1a22207230ef2d9a76434d8c9aa6bdaa7ad9541abf0bf3b2fe32a987,0,0,0.0,582528b8a9823c04b81c37c43d24fd4578b09432312da884b566eb71dccc38d1,0,0,0.0,1.0,True,IMSTL-006-20260728-002,10,True,0,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,65,5e-324
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.029002,0abb87403ddbb2dfb9f82bc5fd0589316e8865ce2c82fa0b8bf5fb0f25c7d020,1,29002,0.029296,d00d7d5ae5907e47688bd0c6c894eb3b93d4730e2cffa7217751e6c27b9c1ecf,1,7324,0.010035499726925178,0.9606511064774332,True,IMSTL-006-20260728-002,185,True,1,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,185,0.05
"[40.0, 40.0, 40.0]",1.0,F,True,F1,uniform_bbox_to_expected,already_expected_size,True,0.39703,cfe223867017aac4bc4b1352b7478d95cf0f6ce6f0f5f13ead2e980f7be0ca98,1,397030,0.397528,409beed632f5912dde0d3ee8fc07616e39db801df4a404ab111f71323e916b63,1,99382,0.0012527419452214687,0.9719210991323685,True,IMSTL-006-20260728-002,1765,True,100,"[20.0, 20.0, 20.0]","[40.0, 40.0, 40.0]",d76883bc10af4f4b3817ccbe90b2863f97c9b843f30c5214cde81d2f76fdb0f8,52400,1765,5.0
