bank_version,model_id,model_family,candidate_id,value,finite,source_bank
XREG-v0.3-TECHNICAL,C9,C,LIT-X001::solid_chord_x_population_std_mm,4.7055909413245782,True,PRM082_existing
XREG-v0.3-TECHNICAL,F1,F,LIT-X001::solid_chord_x_population_std_mm,1.2283874669961563,True,PRM082_existing
XREG-v0.3-TECHNICAL,F2,F,LIT-X001::solid_chord_x_population_std_mm,1.2781334756319604,True,PRM082_existing
XREG-v0.3-TECHNICAL,L1,L,LIT-X001::solid_chord_x_population_std_mm,1.2660145252267889,True,PRM082_existing
XREG-v0.3-TECHNICAL,L10,L,LIT-X001::solid_chord_x_population_std_mm,5.9900398586553392,True,PRM082_existing
XREG-v0.3-TECHNICAL,L11,L,LIT-X001::solid_chord_x_population_std_mm,1.070396084094025,True,PRM082_existing
XREG-v0.3-TECHNICAL,L12,L,LIT-X001::solid_chord_x_population_std_mm,1.6719287225655566,True,PRM082_existing
XREG-v0.3-TECHNICAL,L13,L,LIT-X001::solid_chord_x_population_std_mm,0.67086695781718531,True,PRM082_existing
XREG-v0.3-TECHNICAL,L14,L,LIT-X001::solid_chord_x_population_std_mm,0.7335349867332378,True,PRM082_existing
XREG-v0.3-TECHNICAL,L15,L,LIT-X001::solid_chord_x_population_std_mm,1.0435455378074039,True,PRM082_existing
XREG-v0.3-TECHNICAL,L16,L,LIT-X001::solid_chord_x_population_std_mm,2.1471091783761431,True,PRM082_existing
XREG-v0.3-TECHNICAL,L17,L,LIT-X001::solid_chord_x_population_std_mm,1.4122967297677969,True,PRM082_existing
XREG-v0.3-TECHNICAL,L18,L,LIT-X001::solid_chord_x_population_std_mm,1.5011250991388625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L19,L,LIT-X001::solid_chord_x_population_std_mm,3.0255745826688978,True,PRM082_existing
XREG-v0.3-TECHNICAL,L2,L,LIT-X001::solid_chord_x_population_std_mm,0.8505318700908896,True,PRM082_existing
XREG-v0.3-TECHNICAL,L20,L,LIT-X001::solid_chord_x_population_std_mm,1.0767993236906968,True,PRM082_existing
XREG-v0.3-TECHNICAL,L3,L,LIT-X001::solid_chord_x_population_std_mm,2.3676556882167588,True,PRM082_existing
XREG-v0.3-TECHNICAL,L4,L,LIT-X001::solid_chord_x_population_std_mm,3.821009999547663,True,PRM082_existing
XREG-v0.3-TECHNICAL,L5,L,LIT-X001::solid_chord_x_population_std_mm,2.3019574157840998,True,PRM082_existing
XREG-v0.3-TECHNICAL,L6,L,LIT-X001::solid_chord_x_population_std_mm,4.1327235365695589,True,PRM082_existing
XREG-v0.3-TECHNICAL,L7,L,LIT-X001::solid_chord_x_population_std_mm,5.9074159071147321,True,PRM082_existing
XREG-v0.3-TECHNICAL,L8,L,LIT-X001::solid_chord_x_population_std_mm,1.0661038639810392,True,PRM082_existing
XREG-v0.3-TECHNICAL,L9,L,LIT-X001::solid_chord_x_population_std_mm,2.2389547587676044,True,PRM082_existing
XREG-v0.3-TECHNICAL,T1,T,LIT-X001::solid_chord_x_population_std_mm,0.85457843357739116,True,PRM082_existing
XREG-v0.3-TECHNICAL,T10,T,LIT-X001::solid_chord_x_population_std_mm,1.5114882958399345,True,PRM082_existing
XREG-v0.3-TECHNICAL,T11,T,LIT-X001::solid_chord_x_population_std_mm,0.5944100092693414,True,PRM082_existing
XREG-v0.3-TECHNICAL,T12,T,LIT-X001::solid_chord_x_population_std_mm,1.6255528319239232,True,PRM082_existing
XREG-v0.3-TECHNICAL,T13,T,LIT-X001::solid_chord_x_population_std_mm,0.78394577413620237,True,PRM082_existing
XREG-v0.3-TECHNICAL,T14,T,LIT-X001::solid_chord_x_population_std_mm,1.3013260326919156,True,PRM082_existing
XREG-v0.3-TECHNICAL,T15,T,LIT-X001::solid_chord_x_population_std_mm,0.99479828340604082,True,PRM082_existing
XREG-v0.3-TECHNICAL,T16,T,LIT-X001::solid_chord_x_population_std_mm,3.1449819870818501,True,PRM082_existing
XREG-v0.3-TECHNICAL,T17,T,LIT-X001::solid_chord_x_population_std_mm,3.5050479523192282,True,PRM082_existing
XREG-v0.3-TECHNICAL,T2,T,LIT-X001::solid_chord_x_population_std_mm,4.6503654056697483,True,PRM082_existing
XREG-v0.3-TECHNICAL,T3,T,LIT-X001::solid_chord_x_population_std_mm,4.9895198115375923,True,PRM082_existing
XREG-v0.3-TECHNICAL,T4,T,LIT-X001::solid_chord_x_population_std_mm,0.87854087043969786,True,PRM082_existing
XREG-v0.3-TECHNICAL,T5,T,LIT-X001::solid_chord_x_population_std_mm,2.7505049394076493,True,PRM082_existing
XREG-v0.3-TECHNICAL,T6,T,LIT-X001::solid_chord_x_population_std_mm,2.7434024765542526,True,PRM082_existing
XREG-v0.3-TECHNICAL,T7,T,LIT-X001::solid_chord_x_population_std_mm,2.6181670588443016,True,PRM082_existing
XREG-v0.3-TECHNICAL,T8,T,LIT-X001::solid_chord_x_population_std_mm,0.68373819772916333,True,PRM082_existing
XREG-v0.3-TECHNICAL,T9,T,LIT-X001::solid_chord_x_population_std_mm,0.68373435066428012,True,PRM082_existing
XREG-v0.3-TECHNICAL,B1,B,LIT-X001::solid_chord_x_q10_mm,1.5625,True,PRM082_existing
XREG-v0.3-TECHNICAL,B2,B,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,B3,B,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,B4,B,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,B5,B,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,C1,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C10,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C11,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,C12,C,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v0.3-TECHNICAL,C13,C,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v0.3-TECHNICAL,C14,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C2,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C3,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C4,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,C5,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,C6,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,C7,C,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,C8,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,C9,C,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,F1,F,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,F2,F,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L1,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L10,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L11,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L12,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L13,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L14,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L15,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L16,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L17,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L18,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L19,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L2,L,LIT-X001::solid_chord_x_q10_mm,1.5625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L20,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L3,L,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v0.3-TECHNICAL,L4,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L5,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L6,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,L7,L,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,L8,L,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,L9,L,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T1,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,T10,T,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v0.3-TECHNICAL,T11,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,T12,T,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T13,T,LIT-X001::solid_chord_x_q10_mm,0.3125,True,PRM082_existing
XREG-v0.3-TECHNICAL,T14,T,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T15,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,T16,T,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T17,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,T2,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,T3,T,LIT-X001::solid_chord_x_q10_mm,1.5625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T4,T,LIT-X001::solid_chord_x_q10_mm,0.9375,True,PRM082_existing
XREG-v0.3-TECHNICAL,T5,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,T6,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,T7,T,LIT-X001::solid_chord_x_q10_mm,0.625,True,PRM082_existing
XREG-v0.3-TECHNICAL,T8,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,T9,T,LIT-X001::solid_chord_x_q10_mm,1.25,True,PRM082_existing
XREG-v0.3-TECHNICAL,B1,B,LIT-X001::solid_chord_x_q50_mm,2.8125,True,PRM082_existing
XREG-v0.3-TECHNICAL,B2,B,LIT-X001::solid_chord_x_q50_mm,1.5625,True,PRM082_existing
XREG-v0.3-TECHNICAL,B3,B,LIT-X001::solid_chord_x_q50_mm,2.1875,True,PRM082_existing
XREG-v0.3-TECHNICAL,B4,B,LIT-X001::solid_chord_x_q50_mm,1.875,True,PRM082_existing
