unified_block_id,candidate_id,candidate_group_id,descriptor_family,source_bank,technical_role,later_evaluation_role,unified_block_member_count,unified_edge_degree,representative_selected,block_policy
U096-BLK-076,LIT-X016::void_chord_z_count,LIT-X016,directional_void_chord,PRM082_existing,diagnostic_trace_only,existing_bank_reference_diagnostic_trace_only,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-077,LIT-X016::void_chord_z_mean_mm,LIT-X016,directional_void_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-078,LIT-X016::void_chord_z_population_std_mm,LIT-X016,directional_void_chord,PRM082_existing,census_primary,existing_bank_reference_census_primary,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-079,LIT-X016::void_chord_z_q10_mm,LIT-X016,directional_void_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-080,LIT-X016::void_chord_z_q50_mm,LIT-X016,directional_void_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-081,LIT-X016::void_chord_z_q90_mm,LIT-X016,directional_void_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-082,LIT-X016::void_chord_z_spanning_line_fraction,LIT-X016,directional_void_chord,PRM082_existing,retained_sensitivity_trace,existing_bank_reference_retained_sensitivity_trace,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-083,LIT-X017::beta0_count,LIT-X017,topology_terms,PRM094_second_wave,hold_low_variation_trace_only,hold_low_variation_trace_only,2,1,False,later comparison inside authorized outer fold only
U096-BLK-083,LIT-X017::beta0_density,LIT-X017,topology_terms,PRM094_second_wave,hold_low_variation_trace_only,hold_low_variation_trace_only,2,1,False,later comparison inside authorized outer fold only
U096-BLK-084,LIT-X023::axis_power_fraction_x,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-085,LIT-X023::axis_power_fraction_y,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-086,LIT-X023::axis_power_fraction_z,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-087,LIT-X023::peak_wavelength_x,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-088,LIT-X023::peak_wavelength_y,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-089,LIT-X023::peak_wavelength_z,LIT-X023,structure_factor,PRM094_second_wave,likely_full58_technical_candidate_not_selected,later_nested_standalone_challenger,1,0,False,standalone technical candidate; no selection in PRM096
U096-BLK-044,LIT-X024::ect_abs_auc_direction_mean_per_mm3,LIT-X024,euler_characteristic_transform,PRM100_full58_exact_permit,diagnostic_blocked_by_X004_redundancy,blocked_diagnostic_not_selected,3,2,False,no selection; X024 absolute-AUC diagnostic block with X004; later inner-fold-only comparison if separately authorized
U101-BLK-090,LIT-X019::solid_void_chord_q50_geomean_ratio,LIT-X019,phase_scale_ratio,PRM100_full58_exact_permit,sensitivity_candidate,third_wave_likely_unselected,1,0,False,standalone technical candidate; no selection in PRM101
U101-BLK-091,LIT-X019::solid_void_chord_x_q50_ratio,LIT-X019,phase_scale_ratio,PRM100_full58_exact_permit,sensitivity_candidate,third_wave_likely_unselected,1,0,False,standalone technical candidate; no selection in PRM101
U101-BLK-092,LIT-X019::solid_void_chord_y_q50_ratio,LIT-X019,phase_scale_ratio,PRM100_full58_exact_permit,sensitivity_candidate,third_wave_likely_unselected,1,0,False,standalone technical candidate; no selection in PRM101
U101-BLK-093,LIT-X019::solid_void_chord_z_q50_ratio,LIT-X019,phase_scale_ratio,PRM100_full58_exact_permit,sensitivity_candidate,third_wave_likely_unselected,1,0,False,standalone technical candidate; no selection in PRM101
U101-BLK-094,LIT-X024::ect_total_variation_direction_mean_per_mm3,LIT-X024,euler_characteristic_transform,PRM100_full58_exact_permit,sensitivity_candidate,third_wave_likely_unselected,1,0,False,standalone technical candidate; no selection in PRM101
