slice_index,z_mm,foreground_pixels,png_sha256
164,8.199999999999998,573000,dcbd70d106f48f5606ab88872133cdadc059f5d92e78d061166a35913b182bca
165,8.249999999999998,574000,1668f86667534b8f44cd6b514b4dfe0c5e442e1b08386c0f33186516ad9bfa99
166,8.299999999999999,576600,da6028fa5ec997720135f8d58514075e621da213426e7b109d01d8de7cae6e3e
167,8.349999999999998,578200,4db64431d7019024ede986e69d1e05588d701c8cc6283808e343c79c3bd7027e
168,8.399999999999999,580000,743cb079060e6279f0cc4c96106abcb403e012ea40fdd0901ee08cd8e479be20
169,8.449999999999998,582000,327debeb699fee9374f4c726ceb0e1073d9854f3355a0ace72d275f28653311e
170,8.499999999999998,586600,bcb53af98751810c27a560cad464618f4800c9fd20aeed416c1f378428c85ce1
171,8.549999999999999,589200,75c20de445f30d4769217df0d63fde789849f39c66f996d8d1d78196ccfdcee3
172,8.599999999999998,156800,ff234a5fc7ce735e550d4e7e2f33299a238dd2b2368dfa67e61f74bda8d099c6
173,8.649999999999999,162398,4eddccd797a9dc956e0ab71bef9dcd69a0673fdb7aa9c7837d0095604d20a905
174,8.699999999999998,173600,1dc10175eb4ea4dde02c11e5582e3e8def4e4f0b290f2cabce354a713ba363cc
175,8.749999999999998,179200,810c75b091a7c8fa6091f2274c135cc6e43198b803a3a441a18c438ea9ceae3f
176,8.799999999999997,184800,e9d5679d2de0b51a76dc44aa682adfb25b816fe052a8794ff3fe913df94b6e4d
177,8.849999999999998,190300,0335b6267b4e38f5674cff991294bb07d416da41b917ea8f2b234076db20a026
178,8.899999999999999,201200,4a6791dcd134ff9741b600630097206d5295e7e7863e022a42315f8ccc4f8e5b
179,8.949999999999998,205600,37762b9c48eb58fca5745a2306fec1a2cb7cbeaae28617966cf2faef10bc178a
180,8.999999999999998,210300,17eb8c75c627961021cd2bf69764a973e5b9b2a2ddb5d001af32375bbc05a29a
181,9.049999999999997,214800,56243ad78514be2d2f8f317a46c5930f578987daf451151bd837a0b3309e980c
182,9.099999999999998,224700,ac8f0b9e31d47c67b676492fe53b8f135dd02c8a280901fc431a56e8e0592887
183,9.149999999999999,227084,174cc1926c8dbec4ff986c4a2d10c3499e32bac68d91875c08f3558b298b0718
184,9.199999999999998,230800,776f11bcd978d405cfbbb875378c1cde87c5f77da29c07ccae209cb16e53fe04
185,9.249999999999998,234300,9808421411b27f4b2c52be5485a1f644c44380c16496f74ce75a27a86300a021
186,9.299999999999997,243200,23fc8232eeb5c0de8545923b10ebb0e40b803e403efdcb47ef45b0e84c4611c2
187,9.349999999999998,243600,5b7a9bc56ca708e7cfb9a9e4aa054929fc4605b54963f058afbd62097bdd46c8
188,9.399999999999999,243600,ac0aef934c2f35700b025327412a0886b303c3806bde7ae557942a66205973ef
189,9.449999999999998,243600,bedc0043798d15a1799945480f44ae36af350237c398ab53d772ea8a636d1856
190,9.499999999999998,249200,8721b1ecea3e7284758ccf7347908b66ae1c314d9fdec0c9fc68ec4eec16cac1
191,9.549999999999997,243600,36930b4499f9edad3ef47291bf278c0c8ecd80a005201232b257ae0491be0f06
192,9.599999999999998,243600,2a457721dbc491935695a78f4a4dff63b867478f53e5b1c56c1d3634595a9071
193,9.649999999999999,243600,1c07e878af089cd9bbbe395f1538c97355dda9b26258c02facbcfe7c96aea7c4
194,9.699999999999998,249200,a205402c8f14b2602dbe9e59bec17722b2c5832119885db19dc8d998fd2f2bfe
195,9.749999999999998,243600,f38866e7c5ea42d5471121c960eb79d8fcdc65194c1c9a9b5290fb3486b53c41
196,9.799999999999997,243600,bee644b5d7b1a6fc72c0f334e77946071ad8c9923675c418c62b482de3c28619
197,9.849999999999998,243600,ca4de7f8c3614056765b4fc90369f0b96fe04ff74e263562390b8373ee6ef056
198,9.899999999999999,249200,1de56447df2e85994a925baf688ca5327fadd316c0513e96506f7f3c399efeeb
199,9.949999999999998,243600,16ecb196fe5fdaed5377309a88a58eff7de5b05a74ebcc35aeaa8f670b7be380
200,9.999999999999998,243600,e464d7729bb4727f3fd5893e4623f4b1d642247b1342a3f4641d834d69479a06
201,10.049999999999997,243600,a102b7317f33f42f98624acf412c8eba97d0677c1f619f4e7230449323226539
202,10.099999999999998,249200,93a6af911395f7552b178360e6927c0595e8f7e45df675c4e670fe5e915f9cef
203,10.149999999999999,243600,76b9647af495abaec0fcecde226e10b44cf6492edc7ffb3f501f3452d926319a
204,10.199999999999998,243600,1cca6363c01c09b402004b9231b78091694646e80824bb5cbdb82d013036eb5d
205,10.249999999999998,243600,15878b0e614e831f242e70b84f749eb6d0f1bf2cb0673bcce57574b1f99ffced
206,10.299999999999997,249200,92796982abdf6f982c627b348578d99025ce73a8a10e563ea8a94bb653f3669a
207,10.349999999999998,243600,d82d2be0d5294a72f6a4db3833d0a0ba124af6ebb6270ae675b21f8617a56e67
208,10.399999999999999,243600,e0cac5a65fa075b3dcbfc710a0503203c653a4e8c91cdaed28e35d4fa5c46b78
209,10.449999999999998,243600,3a632689d083c4349731a46c7188c5735cadec9ac843c38806de282d1e9e712d
210,10.499999999999998,249200,a884fbe8f789f4a56d174ffe093f7e4bd8c1d42b2712b88d92fe934cb556d66f
211,10.549999999999997,243600,d33ab34c6c656e2c978663b3605a37c69d1a775d5b9e9976e85d3ec9071c2cea
212,10.599999999999998,243600,f5ec0d50c879b563b7030d4f39619b9e138eef689ce1a9feb0945228c3c83385
213,10.649999999999997,243600,7d4b17556fa56797dd528b1412ff28ad95e974736a4ec57aa151983d97951ee0
214,10.699999999999998,248400,c29ebf9f72b080453f8d3d72fb56c1e8e36aaaa6ed5bced9d5c455c41b47717e
215,10.749999999999998,241800,917657c6da756f5285c4fb8fc114724a9ba78cc34ea52aea864d70d6ce762f68
216,10.799999999999997,240400,6469a48b090fd7c5395492c8e64b2300d13b2eda0bd310f2c4d64b07ac93349a
217,10.849999999999998,238580,1e6ea2045ef5ec04dae0aff2e9af8d9dcf504ae23d491dfc23ce092ea9102b7e
218,10.899999999999997,239400,04d8ce5d0cc352f4aae6a835b3be04ad9d9526e9271ff40e570313fd0611960f
219,10.949999999999998,230800,4f5dec0599e61a30ee990d9c6dc99a7d9a455246a5f4e9e0b98519b56ea33617
