model_id,structural_excel_row,Type,Source,Target VF,Actual VF,Node 개수,Strut 개수,Global: Strut No. at Nodes-AVG,Global: Strut No. at Nodes-STDEV,Node: Strut count - AVG,Node: Strut count - STDEV,Global: Length - AVG,Global: Length - STDEV,Global: Angle-Z (weighted with length)-AVG,Global: Angle-Z (weighted with length)-STDEV,Node: Length - AVG,Node: Length - STDEV,Node: Angle-Z (weighted with length)-AVG,Node: Angle-Z (weighted with length)-STDEV,Global: l/d AVG,Global: l/d STDEV,Node: l/d AVG,Node: l/d STDEV,Global: Angle-X (weighted with length)-AVG,Global: Angle-X (weighted with length)-STDEV,Node: Angle-X (weighted with length)-AVG,Node: Angle-X (weighted with length)-STDEV,Global: Angle-Y (weighted with length)-AVG,Global: Angle-Y (weighted with length)-STDEV,Node: Angle-Y (weighted with length)-AVG,Node: Angle-Y (weighted with length)-STDEV,connected_components,maxwell_index_M_3D,total_strut_length_mm,mean_radius_mm,std_radius_mm,mean_diameter_mm,surface_area_mm2,surface_to_solid_volume_1_per_mm,solid_volume_mm3_approx,bbox_x_mm,bbox_y_mm,bbox_z_mm,mass_center_x_mm,mass_center_y_mm,mass_center_z_mm
AI066,67,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.449849383023949,1991,8570,8.60873932697137,5.026273079849667,8.60873932697137,5.026273079849667,3.238036768317528,1.336296366443455,34.73006617906398,25.29440118212215,2.942670763261953,0.7467283647168829,34.80635151994912,6.248311803232207,4.3375307719901,1.79004348148855,3.941871541537931,1.000284274708924,28.93702958388954,24.76923152826202,30.3145693642261,9.513277129187175,30.47125081472868,24.7617419932363,30.51844126504297,9.10028325361473,1,2603,27749.97510448182,0.3732580745279516,0,0.7465161490559032,65080.61939186299,5.358223000344576,12145.93334164662,30,30,30,-0.1234399363930284,-0.01941677263791555,-0.2445833033159353
AI067,68,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.450141839005546,2466,9950,8.069748580697485,5.274224638289497,8.069748580697485,5.274224638289497,3.183048163097256,1.159187785775843,31.59084354447871,19.24111156191269,2.971070160816743,0.6290118391137803,31.76683847433716,6.946397130747558,4.553703228497532,1.658346619985177,4.250445199119817,0.8998711598973923,32.83975004870477,20.53981098200655,31.87484497814507,7.104803518837588,32.65640079248346,21.74296162713403,34.43490429697942,9.048389218182738,1,2558,31671.32922281819,0.3495010547873894,0,0.6990021095747788,69549.60213521091,5.722443387807949,12153.82965314974,30,30,30,0.1644728427470633,-0.1608041333898735,-0.1800226258613059
AI068,69,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4494677730669562,2216,8800,7.942238267148015,5.760949198274473,7.942238267148015,5.760949198274473,3.271956805090609,1.338455254453603,33.07598511055456,21.10581248456761,3.070091236384214,0.6573339145676792,33.11293618168403,8.200517960606831,4.466490947360599,1.827101833423713,4.190927793895942,0.8973150178027304,33.06561509226051,19.7651480874485,33.46719489499208,7.855451309715419,31.24772109637496,18.63343867138583,31.21532885395153,6.866914412364671,1,2158,28793.21988479794,0.3662782309034029,0,0.7325564618068058,66264.54344761917,5.460329965739765,12135.62987280782,30,30,30,0.1275798759622956,0.1430852302182017,0.2161022992973683
AI069,70,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.449931244740271,2141,8575,8.010275572162541,4.391143057784731,8.010275572162541,4.391143057784731,3.344639652841151,1.345994734793464,33.93022566683543,23.28183843168433,3.120004541467828,0.7221661405629843,32.86115577361166,7.399061508200224,4.554398710759525,1.832842195608451,4.24851288513376,0.9833742587905763,30.52031319348597,20.69342105546856,30.42893494123708,5.414384756846363,30.72031273828078,22.48613836546149,33.05822085923614,8.093093307543963,1,2158,28680.28502311406,0.3671878402893908,0,0.7343756805787816,66168.55067103001,5.44680346283729,12148.14360798732,30,30,30,-0.09413019906789635,-0.139197541432924,0.0967193046220796
AI070,71,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4496655495565249,1741,7870,9.040781160252727,4.904027463875937,9.040781160252727,4.904027463875937,3.556882264751057,1.335229078289186,31.40870503317666,24.70236596974345,3.292543237704034,0.8058247251457029,31.48724973980453,7.152371163197277,4.786409499097152,1.796785124750648,4.430694933400522,1.084378630484328,32.17626144656577,25.91632518763827,33.75191790266098,6.453794535218667,29.31351409528621,25.68935789071068,29.00095226477044,7.073025864112348,1,2653,27992.66342359157,0.3715605889364441,0,0.7431211778728882,65351.22507356613,5.382702201341656,12140.96983802617,30,30,30,0.09287705809173089,0.1010763617184436,-0.2814138392096423
AI071,72,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4501456850416677,1991,8225,8.262179809141134,5.313732192998506,8.262179809141134,5.313732192998506,3.364852549037275,1.275273976515794,34.72887496877755,26.57116840294299,3.071714589469698,0.7166563242393572,35.4938791313276,6.633111626221539,4.499906840353019,1.70545781921098,4.107885647685104,0.9584035700315052,30.8775003629965,21.35924669943505,29.06310883869407,7.219607869185459,28.80532001074856,24.44371326874008,31.3255387815319,8.339372156810548,1,2258,27675.91221583271,0.373880245571184,0,0.747760491142368,65015.11454587407,5.349306425496115,12153.93349612503,30,30,30,-0.1898997653417602,-0.09921571042922855,0.1172517982723991
AI072,73,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4502986780446611,2066,8325,8.059051306873185,5.820012054128347,8.059051306873185,5.820012054128347,3.272377399275555,1.304292885849559,30.37879988631083,25.21704870011163,3.004787856652963,0.6373127714705029,30.50559037237177,9.665242623340783,4.341101302443409,1.73026116938183,3.986119840874724,0.8454523927792994,31.13404295454069,24.02451245867749,31.83542485242966,9.934490430717878,34.31402331625802,23.47379341422516,34.60020160387511,7.695003865706282,1,2133,27242.54184897025,0.3769063621521205,0,0.753812724304241,64515.0388960472,5.306357761063197,12158.06430720585,30,30,30,0.1359657204171961,-0.01806749482706273,0.005973075593025465
AI073,74,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.450474518606765,2441,9475,7.763211798443261,5.490197539650584,7.763211798443261,5.490197539650584,3.214918354212601,1.331276474648654,33.30158652991059,18.47951389070149,2.965552184831478,0.649850884054082,33.80345914091014,6.941144881092087,4.508919431917032,1.86711378157766,4.159183655482161,0.9114151453085839,31.89439881422417,18.7288359957165,33.63046109753635,6.268461827585343,32.57931138868162,19.85928719062625,31.09211377710407,8.588072943471229,1,2158,30461.35140616487,0.3565065203267264,0,0.7130130406534528,68233.32146203578,5.609995570816115,12162.81200238266,30,30,30,-0.07525828372944011,0.2858695600510804,-0.2292873724876358
AI074,75,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4501732265718635,2266,9200,8.120035304501323,4.357397120716358,8.120035304501323,4.357397120716358,3.13281671462341,1.030290602653425,32.28799393202939,25.60367646780692,2.972367556548183,0.5397479352851577,32.49527629281829,7.824580040944517,4.275329800035882,1.406029307638769,4.056366123128871,0.7365896707142238,32.03410650883119,22.39790056481992,31.95558502784645,6.023331067715432,31.21897128349794,21.80328817779461,31.94341559600897,7.405129770857479,1,2408,28821.91377453616,0.3663830465894253,0,0.7327660931788506,66349.56082485465,5.458767862262011,12154.67711744031,30,30,30,-0.03961628667346373,0.1052553422250955,-0.06151333490311345
AI075,76,Imported,AI lattice_1-150_30 mm_merge.xlsx,0.45,0.4486897874577698,2066,8100,7.841239109390126,4.612748227689043,7.841239109390126,4.612748227689043,3.400161639089629,1.310183913637936,27.63331844535816,23.60714930991782,3.163263255687178,0.6860119800179911,26.43302846482836,9.001677382329158,4.543408860232587,1.750711240701663,4.226857375811496,0.9166719818278855,30.7710896470642,24.87888531761257,31.45710797717209,7.328314565871429,36.62752785337918,25.38342589976509,38.18974246501627,8.16936996873981,1,1908,27541.30927662725,0.3741861830717528,0,0.7483723661435056,64751.85247038757,5.344932791429357,12114.62426135979,30,30,30,-0.3870832486922584,0.0149518171335069,-0.3413575448099229
