model_id,model_numeric_id,raw_sample_id,geometry_group,source_asset_alias,source_path,source_sheet,source_excel_row,structural_excel_row,join_key,join_status,replicate_id,direction,analysis_group_id
AI041,41,CP_Lattice_41.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,42,42,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-041
AI042,42,CP_Lattice_42.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,43,43,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-042
AI043,43,CP_Lattice_43.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,44,44,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-043
AI044,44,CP_Lattice_44.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,45,45,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-044
AI045,45,CP_Lattice_45.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,46,46,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-045
AI046,46,CP_Lattice_46.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,47,47,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-046
AI047,47,CP_Lattice_47.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,48,48,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-047
AI048,48,CP_Lattice_48.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,49,49,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-048
AI049,49,CP_Lattice_49.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,50,50,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-049
AI050,50,CP_Lattice_50.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(1-50)_summary (1).xlsx,Raw data,51,51,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-050
AI051,51,CP_Lattice_51.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,2,52,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-051
AI052,52,CP_Lattice_52.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,3,53,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-052
AI053,53,CP_Lattice_53.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,4,54,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-053
AI054,54,CP_Lattice_54.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,5,55,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-054
AI055,55,CP_Lattice_55.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,6,56,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-055
AI056,56,CP_Lattice_56.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,7,57,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-056
AI057,57,CP_Lattice_57.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,8,58,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-057
AI058,58,CP_Lattice_58.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,9,59,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-058
AI059,59,CP_Lattice_59.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,10,60,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-059
AI060,60,CP_Lattice_60.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,11,61,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-060
AI061,61,CP_Lattice_61.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,12,62,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-061
AI062,62,CP_Lattice_62.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,13,63,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-062
AI063,63,CP_Lattice_63.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,14,64,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-063
AI064,64,CP_Lattice_64.csv,ai_lattice,COMP-Y-AILATTICE-001-150,experiments/lab_001_xy_connection_20260626/data/raw/doctor_compression_data_20260731/03_ai_lattice_summaries/Ai-Lattice_(51-100)_summary.xlsx,Raw data,15,65,model_id,exact_one_to_one,single_received_summary_row,unresolved,AI-LATTICE-064
