role,ordinal,excel_col,normalized_header,dtype,nan_count,raw_value_hash,nan_mask_hash
feature,79,CJ,Structural parameters: External | Local distribution | xy | Mean,float64,0,883a1af16661038a1879f974440022ce8bf7ce0210168bd12840692cad7e895e,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,80,CK,Structural parameters: External | Local distribution | xy | Stdev,float64,0,1c93f00d359da21abb50e6698ee002f1411c206a41b936511c5d5b1e81ee1816,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,81,CL,Structural parameters: External | Local distribution | yz | Mean,float64,0,db2384b267d51fc50ab85bdd83a4ff1d7112705567feac6076d002528f6ccdf5,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,82,CM,Structural parameters: External | Local distribution | yz | Stdev,float64,0,7be57a660f6c587c071f0d89924d7adb7ac124761cff30ceb2f69d62b1771c9f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,83,CN,Structural parameters: External | Local distribution | xz | Mean,float64,0,d24cb116a351df8450820c8d13050e24e31ab4041f993107e1c37d535a8a6c1a,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,84,CO,Structural parameters: External | Local distribution | xz | Stdev,float64,0,cc60229aeea8909b4a5ec495bae806e0c4e131cb057628e315a1b69da7df9439,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,85,CP,Structural parameters: External | Local distribution | xyz | Mean,float64,0,6ee864765002489e3d5899987a8f9a80d66528b639ef96b88eda3e50f969ac65,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,86,CQ,Structural parameters: External | Local distribution | xyz | Stdev,float64,0,a53399c9cd3ab04a93a54e43bf622c1fd5e1308cea8ee8d6e4be00560bcb8aaf,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,87,CR,Structural parameters: Internal Sound | Overlay images | Thickness | IP,float64,0,f657c8622620fb589845a218087a91c8b46ae906664f41c9e09273991fe70452,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,88,CS,Structural parameters: Internal Sound | Overlay images | Thickness | IP-stdev,float64,0,87adf9b43756b6d5f18005e3c0d0f7a9a021e07915f3494d418d77359dcbecc3,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,89,CT,Structural parameters: Internal Sound | Overlay images | Thickness | LIP,float64,0,a275a76caed90b901841984d2058a78a96cd8188de031c3a0ce03c9cbb21bc4c,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,90,CU,Structural parameters: Internal Sound | Overlay images | Thickness | LIP-stdev,float64,0,6e85c555132c25c7d199c224dad9948c0cca20a136b8014a9817792051f5a42c,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,91,CV,Structural parameters: Internal Sound | Overlay images | Thickness | LTP,float64,0,61903a9201eb260fe7e393d153d91d6a464838c08f46dbda9129a93c81829d65,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,92,CW,Structural parameters: Internal Sound | Overlay images | Thickness | LIP-stdev__2,float64,0,5798d396015b4a1cd1c4a9c0a557e6fb2fbbf80fe6b61036dca6e6cb1d341f5f,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
feature,93,CX,Structural parameters: Internal Sound | Overlay images | Thickness | AVG,float64,0,4630e8d205c9985022d94f03a7231a048fa761c342d7f40f098306716f931412,ec36965143c620db5dc43938945ec25a42b4ac2a15cbdd105cf79c5db2ff6be5
